azure-dls-gen2,Azure/Data_Lake_Storage_Gen2|Azure/Data_Lake_Storage_Gen2_SAS|Azure/Synapse
azure-eventhubs,Azure/Event_Hubs
azureblob,Azure/Blob_storage|Azure/Blob_storage_SAS
bigquery,Google/Big_query
box,Box
box-common,Box
cosmosDB,Azure/CosmoDB
couchbase,Others/Couchbase
data-generator,Amazon/Aurora
dynamodb,Amazon/DynamoDB
elasticsearch,Others/ElasticSearch
fileio,Amazon/S3|Others/Local_connection
localstorage,Others/Local_connection
ftp,Others/FTP|Others/SFTP
google-storage,Google/Cloud_storage
jdbc,Database
kafka,Others/Kafka
kinesis,Amazon/Kinesis
kudu-connector,Others/Kudu
marketo,Others/Marketo
mongodb,Others/Mongo_DB
netsuite,Others/NetSuite
processing-python3,Processor
pubsub,Google/Pub_sub
pulsar,Others/Pulsar
rest,REST
salesforce,Others/Salesforce
workday,Workday