tAccessBulkExec,Databases/AS400
tAccessClose,Databases/AS400
tAccessCommit,Databases/AS400
tAccessConnection,Databases/AS400
tAccessInput,Databases/AS400
tAccessOutput,Databases/AS400
tAccessOutputBulk,Databases/AS400
tAccessOutputBulkExec,Databases/AS400
tAccessRollback,Databases/AS400
tAccessRow,Databases/AS400
tAddCRCRow,
tAddLocationFromIP,Misc/AddLocationFromIP
tAdvancedFileOutputXML,XML/AdvancedFileOutputXML
tAdvancedHash,Technical/Hash
tAdvancedXMLMapHash,XML/XMLMap
tAggregateIn,Processing/AggregateRow
tAggregateOut,Processing/AggregateRow
tAggregateRow,Processing/AggregateRow
tAggregateSortedRow,Processing/AggregateRow
tAmazonAuroraClose,Databases/Aurora
tAmazonAuroraCommit,Databases/Aurora
tAmazonAuroraConnection,Databases/Aurora
tAmazonAuroraInput,Databases/Aurora
tAmazonAuroraOutput,Databases/Aurora
tAmazonAuroraRollback,Databases/Aurora
tAmazonAuroraRow,Databases/Aurora
tAmazonEMRListInstances,BigData/ApacheKudu
tAmazonEMRManage,BigData/ApacheKudu
tAmazonEMRResize,BigData/ApacheKudu
tAmazonMysqlClose,Databases/MySQL
tAmazonMysqlCommit,Databases/MySQL
tAmazonMysqlConnection,Databases/MySQL
tAmazonMysqlInput,Databases/MySQL
tAmazonMysqlOutput,Databases/MySQL
tAmazonMysqlRollback,Databases/MySQL
tAmazonMysqlRow,Databases/MySQL
tAmazonOracleClose,Databases/Oracle
tAmazonOracleCommit,Databases/Oracle
tAmazonOracleConnection,Databases/Oracle
tAmazonOracleInput,Databases/Oracle
tAmazonOracleOutput,Databases/Oracle
tAmazonOracleRollback,Databases/Oracle
tAmazonOracleRow,Databases/Oracle
tAmazonRedshiftManage,Databases/Redshift
tApacheLogInput,File/ApacheLog
tArray,
tArrayIn,
tAS400Close,Databases/AS400
tAS400Commit,Databases/AS400
tAS400Connection,Databases/AS400
tAS400Input,Databases/AS400
tAS400LastInsertId,Databases/AS400
tAS400Output,Databases/AS400
tAS400Rollback,Databases/AS400
tAS400Row,Databases/AS400
tAssert,LogsErrors/tAssert
tAssertCatcher,LogsErrors/tAssert
tAzureSynapseBulkExec,Cloud/AzureStorage
tAzureSynapseClose,Cloud/AzureStorage
tAzureSynapseCommit,Cloud/AzureStorage
tAzureSynapseConnection,Cloud/AzureStorage
tAzureSynapseInput,Cloud/AzureStorage
tAzureSynapseOutput,Cloud/AzureStorage
tAzureSynapseRollback,Cloud/AzureStorage
tAzureSynapseRow,Cloud/AzureStorage
tBarChart,BI/LineChart
tBigQueryBulkExec,BigData/BigQuery
tBigQueryInput,BigData/BigQuery
tBigQueryOutput,BigData/BigQuery
tBigQueryOutputBulk,BigData/BigQuery
tBigQuerySQLRow,BigData/BigQuery
tBoxConnection,Cloud/Boxv2
tBoxCopy,Cloud/Boxv2
tBoxDelete,Cloud/Boxv2
tBoxGet,Cloud/Boxv2
tBoxList,Cloud/Boxv2
tBoxPut,Cloud/Boxv2
tBufferInput,Misc/Buffer
tBufferOutput,Misc/Buffer
tChangeFileEncoding,File/ChangeFileEncoding
tChronometerStart,LogsErrors/Chronometer
tChronometerStop,LogsErrors/Chronometer
tCloudStart,Cloud/AzureStorage
tCloudStop,Cloud/AzureStorage
tCombinedSQLAggregate,Databases/ELT/CombinedSQL
tCombinedSQLFilter,Databases/ELT/CombinedSQL
tCombinedSQLInput,Databases/ELT/CombinedSQL
tCombinedSQLOutput,Databases/ELT/CombinedSQL
tContextDump,Misc/ContextDump
tContextLoad,Misc/ContextLoad
tConvertType,Processing/ConvertType
tCreateTable,Databases
tCreateTemporaryFile,File/CreateTemporaryFile
tDB2BulkExec,Databases/DB2
tDB2Close,Databases/DB2
tDB2Commit,Databases/DB2
tDB2Connection,Databases/DB2
tDB2Input,Databases/DB2
tDB2Output,Databases/DB2
tDB2Rollback,Databases/DB2
tDB2Row,Databases/DB2
tDB2SCD,Databases/DB2
tDB2SCDELT,Databases/DB2
tDB2SP,Databases/DB2
tDenormalize,Processing/Denomalize
tDenormalizeOut,Processing/Denomalize
tDenormalizeSortedRow,Processing/Denomalize
tDie,LogsErrors/Die
tDotNETInstantiate,CustomCode/Java
tDotNETRow,CustomCode/Java
tDropboxConnection,Cloud/Boxv2
tDropboxDelete,Cloud/Boxv2
tDropboxGet,Cloud/Boxv2
tDropboxList,Cloud/Boxv2
tDropboxPut,Cloud/Boxv2
tDropboxUpload,Cloud/Boxv2
tDTDValidator,XML/DTDValidator
tDummyRow,
tDynamicGuessSchema,Misc/FixedFlowInput
tEDIFACTtoXML,XML/EDIFACTtoXML
tELTGreenplumInput,Databases/ELT
tELTGreenplumMap,Databases/ELT
tELTGreenplumOutput,Databases/ELT
tELTInput,Databases/ELT
tELTMap,Databases/ELT
tELTMSSqlInput,Databases/MSSql
tELTMSSqlMap,Databases/MSSql
tELTMSSqlOutput,Databases/MSSql
tELTMysqlInput,Databases/MySQL
tELTMysqlMap,Databases/MySQL
tELTMysqlOutput,Databases/MySQL
tELTNetezzaInput,Databases/Netezza
tELTNetezzaMap,Databases/Netezza
tELTNetezzaOutput,Databases/Netezza
tELTNode,Databases/ELT
tELTOracleInput,Databases/Oracle
tELTOracleMap,Databases/Oracle
tELTOracleOutput,Databases/Oracle
tELTOutput,Databases/ELT
tELTPostgresqlInput,Databases/PostgreSQL
tELTPostgresqlMap,Databases/PostgreSQL
tELTPostgresqlOutput,Databases/PostgreSQL
tELTSybaseInput,Databases/Sybase
tELTSybaseMap,Databases/Sybase
tELTSybaseOutput,Databases/Sybase
tELTTeradataInput,Databases/Teradata
tELTTeradataMap,Databases/Teradata
tELTTeradataOutput,Databases/Teradata
tELTVerticaInput,Databases/Vertica
tELTVerticaMap,Databases/Vertica
tELTVerticaOutput,Databases/Vertica
tESBConsumer,Internet/WebService
tESBProviderFault,Internet/WebService
tESBProviderRequest,Internet/WebService
tESBProviderResponse,Internet/WebService
tExasolBulkExec,Databases/EXASolution
tExasolClose,Databases/EXASolution
tExasolCommit,Databases/EXASolution
tExasolConnection,Databases/EXASolution
tExasolInput,Databases/EXASolution
tExasolOutput,Databases/EXASolution
tExasolRollback,Databases/EXASolution
tExasolRow,Databases/EXASolution
tExternalSortOutput,Processing/SortRow
tExternalSortRow,Processing/SortRow
tExtractDelimitedFields,Processing/ExtractDelimitedField
tExtractJSONFields,Processing/ExtractJSONField
tExtractPositionalFields,Processing/ExtractPositionalField
tExtractRegexFields,Processing/ExtractRegexField
tExtractXMLField,XML/ExtractXMLField
tFileArchive,File/FileArchive
tFileCompare,File/FileCompare
tFileCopy,File/FileCopy
tFileDelete,File/FileDelete
tFileExist,File/FileExist
tFileFetch,Internet/FileFetch
tFileInputARFF,File/FileARFF
tFileInputDelimited,File/FileDelimited
tFileInputExcel,File/FileExcel
tFileInputFullRow,File/FileRow
tFileInputJSON,File/FileJSON
tFileInputLDIF,File/FileLDIF
tFileInputMail,File/FileMail
tFileInputMSDelimited,File/FileDelimited
tFileInputMSPositional,File/FilePositional
tFileInputMSXML,File/FileXML
tFileInputPositional,File/FilePositional
tFileInputProperties,File/FileProperties
tFileInputRaw,File/FileRow
tFileInputRegex,File/FileRegex
tFileInputXML,File/FileXML
tFileList,File/FileList
tFileOutputARFF,File/FileARFF
tFileOutputDelimited,File/FileDelimited
tFileOutputExcel,File/FileExcel
tFileOutputJSON,File/FileJSON
tFileOutputLDIF,File/FileLDIF
tFileOutputMSDelimited,File/FileDelimited
tFileOutputMSPositional,File/FilePositional
tFileOutputMSXML,File/FileXML
tFileOutputPositional,File/FilePositional
tFileOutputProperties,File/FileProperties
tFileOutputRaw,File/FileRow
tFileOutputShadow,File/FileRow
tFileOutputXML,File/FileXML
tFileProperties,File/FileProperties
tFileRowCount,File/FileRowCount
tFileTouch,File/FileTouch
tFileUnarchive,File/FileUnArchive
tFilterColumns,Processing/FilterColumns
tFilterRow,Processing/FilterRow
tFirebirdClose,Databases/FireBird
tFirebirdCommit,Databases/FireBird
tFirebirdConnection,Databases/FireBird
tFirebirdInput,Databases/FireBird
tFirebirdOutput,Databases/FireBird
tFirebirdRollback,Databases/FireBird
tFirebirdRow,Databases/FireBird
tFixedFlowInput,Misc/FixedFlowInput
tFlowMeter,LogsErrors/FlowMeter
tFlowMeterCatcher,LogsErrors/FlowMeter
tFlowToIterate,Orchestration/FlowToIterate
tForeach,Orchestration/Loop
tFTPClose,Internet/FTP
tFTPConnection,Internet/FTP
tFTPDelete,Internet/FTP
tFTPFileExist,Internet/FTP
tFTPFileList,Internet/FTP
tFTPFileProperties,Internet/FTP
tFTPGet,Internet/FTP
tFTPPut,Internet/FTP
tFTPRename,Internet/FTP
tFTPTruncate,Internet/FTP
tFuzzyMatch,Processing/Join
tGoogleDataprocManage,BigData/GoogleStorage
tGPGDecrypt,File/PGP
tGreenplumBulkExec,Databases/ELT
tGreenplumClose,Databases/ELT
tGreenplumCommit,Databases/ELT
tGreenplumConnection,Databases/ELT
tGreenplumGPLoad,Databases/ELT
tGreenplumInput,Databases/ELT
tGreenplumOutput,Databases/ELT
tGreenplumOutputBulk,Databases/ELT
tGreenplumOutputBulkExec,Databases/ELT
tGreenplumRollback,Databases/ELT
tGreenplumRow,Databases/ELT
tGreenplumSCD,Databases/ELT
tGroovy,CustomCode/Groovy
tGroovyFile,CustomCode/Groovy
tGSBucketCreate,BigData/GoogleStorageBucket
tGSBucketDelete,BigData/GoogleStorageBucket
tGSBucketExist,BigData/GoogleStorageBucket
tGSBucketList,BigData/GoogleStorageBucket
tGSClose,BigData/GoogleStorage
tGSConnection,BigData/GoogleStorage
tGSCopy,BigData/GoogleStorage
tGSDelete,BigData/GoogleStorage
tGSGet,BigData/GoogleStorage
tGSList,BigData/GoogleStorage
tGSPut,BigData/GoogleStorage
tHadoopConfManager,BigData/ApacheKudu
tHash,Technical/Hash
tHashInput,Technical/Hash
tHashOutput,Technical/Hash
tHiveClose,Databases/HSQLDb
tHiveConnection,Databases/HSQLDb
tHiveIn,Databases/HSQLDb
tHiveRow,Databases/HSQLDb
tHSQLDbInput,Databases/HSQLDb
tHSQLDbOutput,Databases/HSQLDb
tHSQLDbRow,Databases/HSQLDb
tHttpRequest,Internet/HTTPRequest
tInfiniteLoop,Orchestration/Loop
tInformixBulkExec,Databases/Ingres
tInformixClose,Databases/Ingres
tInformixCommit,Databases/Ingres
tInformixConnection,Databases/Ingres
tInformixInput,Databases/Ingres
tInformixOutput,Databases/Ingres
tInformixOutputBulk,Databases/Ingres
tInformixOutputBulkExec,Databases/Ingres
tInformixRollback,Databases/Ingres
tInformixRow,Databases/Ingres
tInformixSCD,Databases/Ingres
tInformixSP,Databases/Ingres
tIngresBulkExec,Databases/Ingres
tIngresClose,Databases/Ingres
tIngresCommit,Databases/Ingres
tIngresConnection,Databases/Ingres
tIngresInput,Databases/Ingres
tIngresOutput,Databases/Ingres
tIngresOutputBulk,Databases/Ingres
tIngresOutputBulkExec,Databases/Ingres
tIngresRollback,Databases/Ingres
tIngresRow,Databases/Ingres
tIngresSCD,Databases/Ingres
tIntervalMatch,Processing/Join
tIterateToFlow,Orchestration/IterateToFlow
tIterateToFlowOut,Orchestration/IterateToFlow
tJasperOutput,BI/Jasper
tJasperOutputExec,BI/Jasper
tJava,CustomCode/Java
tJavaDBInput,Databases/Derby
tJavaDBOutput,Databases/Derby
tJavaDBRow,Databases/Derby
tJavaFlex,CustomCode/JavaFlex
tJavaRow,CustomCode/Java
tJDBCColumnList,Databases/JDBC
tJDBCSCDELT,Databases/JDBC
tJDBCTableList,Databases/JDBC
tJMSInput,Internet/JMS
tJMSOutput,Internet/JMS
tJoin,Processing/Join
tLDAPAttributesInput,Business/LDAP
tLDAPClose,Business/LDAP
tLDAPConnection,Business/LDAP
tLDAPInput,Business/LDAP
tLDAPOutput,Business/LDAP
tLDAPRenameEntry,Business/LDAP
tLibraryLoad,
tLineChart,BI/LineChart
tLogCatcher,LogsErrors/LogCatcher
tLogRow,LogsErrors/LogRow
tLoop,Orchestration/Loop
tMap,Processing/Map
tMapIn,Processing/Map
tMapOut,Processing/Map
tMaxDBInput,Databases/MySQL
tMaxDBOutput,Databases/MySQL
tMaxDBRow,Databases/MySQL
tMemorizeRows,Misc/MemorizeRow
tMicrosoftCrmInput,Business/MicrosoftCRM
tMicrosoftCrmOutput,Business/MicrosoftCRM
tMicrosoftMQInput,Internet/JMS
tMicrosoftMQOutput,Internet/JMS
tMomCommit,Internet/JMS
tMomConnection,Internet/JMS
tMomInput,Internet/JMS
tMomInputIn,Internet/JMS
tMomInputLoop,Internet/JMS
tMomMessageIdList,Internet/JMS
tMomOutput,Internet/JMS
tMomRollback,Internet/JMS
tMsgBox,
tMSSqlBulkExec,Databases/MSSql
tMSSqlClose,Databases/MSSql
tMSSqlColumnList,Databases/MSSql
tMSSqlCommit,Databases/MSSql
tMSSqlConnection,Databases/MSSql
tMSSqlInput,Databases/MSSql
tMSSqlLastInsertId,Databases/MSSql
tMSSqlOutput,Databases/MSSql
tMSSqlOutputBulk,Databases/MSSql
tMSSqlOutputBulkExec,Databases/MSSql
tMSSqlRollback,Databases/MSSql
tMSSqlRow,Databases/MSSql
tMSSqlSCD,Databases/MSSql
tMSSqlSP,Databases/MSSql
tMSSqlTableList,Databases/MSSql
tMysqlBulkExec,Databases/MySQL
tMysqlClose,Databases/MySQL
tMysqlColumnList,Databases/MySQL
tMysqlCommit,Databases/MySQL
tMysqlConnection,Databases/MySQL
tMysqlInput,Databases/MySQL
tMysqlLastInsertId,Databases/MySQL
tMysqlOutput,Databases/MySQL
tMysqlOutputBulk,Databases/MySQL
tMysqlOutputBulkExec,Databases/MySQL
tMysqlRollback,Databases/MySQL
tMysqlRow,Databases/MySQL
tMysqlSCD,Databases/MySQL
tMysqlSCDELT,Databases/MySQL
tMysqlSP,Databases/MySQL
tMysqlTableList,Databases/MySQL
tNamedPipeClose,
tNamedPipeOpen,
tNamedPipeOutput,
tNetezzaBulkExec,Databases/Netezza
tNetezzaClose,Databases/Netezza
tNetezzaCommit,Databases/Netezza
tNetezzaConnection,Databases/Netezza
tNetezzaInput,Databases/Netezza
tNetezzaNzLoad,Databases/Netezza
tNetezzaOutput,Databases/Netezza
tNetezzaRollback,Databases/Netezza
tNetezzaRow,Databases/Netezza
tNetezzaSCD,Databases/Netezza
tNormalize,Processing/Normalize
tOracleBulkExec,Databases/Oracle
tOracleClose,Databases/Oracle
tOracleCommit,Databases/Oracle
tOracleConnection,Databases/Oracle
tOracleInput,Databases/Oracle
tOracleOutput,Databases/Oracle
tOracleOutputBulk,Databases/Oracle
tOracleOutputBulkExec,Databases/Oracle
tOracleRollback,Databases/Oracle
tOracleRow,Databases/Oracle
tOracleSCD,Databases/Oracle
tOracleSCDELT,Databases/Oracle
tOracleSP,Databases/Oracle
tOracleTableList,Databases/Oracle
tParseRecordSet,Databases/ParseRecordSet
tPivotToColumnsDelimited,File/PivotToColumnsDelimited
tPOP,Internet/POP
tPostgresqlBulkExec,Databases/PostgreSQL
tPostgresqlClose,Databases/PostgreSQL
tPostgresqlCommit,Databases/PostgreSQL
tPostgresqlConnection,Databases/PostgreSQL
tPostgresqlInput,Databases/PostgreSQL
tPostgresqlOutput,Databases/PostgreSQL
tPostgresqlOutputBulk,Databases/PostgreSQL
tPostgresqlOutputBulkExec,Databases/PostgreSQL
tPostgresqlRollback,Databases/PostgreSQL
tPostgresqlRow,Databases/PostgreSQL
tPostgresqlSCD,Databases/PostgreSQL
tPostgresqlSCDELT,Databases/PostgreSQL
tPostjob,Orchestration/PreJob
tPrejob,Orchestration/PreJob
tRedshiftBulkExec,Databases/Redshift
tRedshiftClose,Databases/Redshift
tRedshiftCommit,Databases/Redshift
tRedshiftConnection,Databases/Redshift
tRedshiftInput,Databases/Redshift
tRedshiftOutput,Databases/Redshift
tRedshiftOutputBulk,Databases/Redshift
tRedshiftOutputBulkExec,Databases/Redshift
tRedshiftRollback,Databases/Redshift
tRedshiftRow,Databases/Redshift
tRedshiftUnload,Databases/Redshift
tReplace,Processing/Replace
tReplaceList,Misc/ReplaceList
tReplicate,Orchestration/Replicate
tREST,Internet/REST
tRowGenerator,Misc/RowGenerator
tRSSInput,Internet/RSS
tRSSOutput,Internet/RSS
tRunJob,Orchestration/RunJob
tS3BucketCreate,Cloud/S3
tS3BucketDelete,Cloud/S3
tS3BucketExist,Cloud/S3
tS3BucketList,Cloud/S3
tS3Close,Cloud/S3
tS3Connection,Cloud/S3
tS3Copy,Cloud/S3
tS3Delete,Cloud/S3
tS3Get,Cloud/S3
tS3List,Cloud/S3
tS3Put,Cloud/S3
tSalesforceEinsteinBulkExec,Business/Salesforce
tSalesforceEinsteinOutputBulkExec,Business/Salesforce
tSampleRow,Processing/SampleRow
tSchemaComplianceCheck,
tSCPClose,Internet/SCP
tSCPConnection,Internet/SCP
tSCPDelete,Internet/SCP
tSCPFileExists,Internet/SCP
tSCPFileList,Internet/SCP
tSCPGet,Internet/SCP
tSCPPut,Internet/SCP
tSCPRename,Internet/SCP
tSCPTruncate,Internet/SCP
tSendMail,Internet/SendMail
tServerAlive,Misc/ServerAlive
tServiceNowConnection,Business/ServiceNow
tServiceNowInput,Business/ServiceNow
tServiceNowOutput,Business/ServiceNow
tSetEnv,System/tSystem
tSetGlobalVar,System/tSystem
tSetKerberosConfiguration,System/tSystem
tSetKeystore,System/tSystem
tSetProxy,System/tSystem
tSleep,System/tSystem
tSOAP,Internet/SOAP
tSocketInput,Internet/REST
tSocketOutput,Internet/REST
tSortIn,Processing/SortRow
tSortOut,Processing/SortRow
tSortRow,Processing/SortRow
tSplitRow,Processing/SplitRow
tSQLiteClose,Databases/SQLite
tSQLiteCommit,Databases/SQLite
tSQLiteConnection,Databases/SQLite
tSQLiteInput,Databases/SQLite
tSQLiteOutput,Databases/SQLite
tSQLiteRollback,Databases/SQLite
tSQLiteRow,Databases/SQLite
tSQLTemplate,Databases/SQLTemplate
tSQLTemplateAggregate,Databases/SQLTemplate
tSQLTemplateCommit,Databases/SQLTemplate
tSQLTemplateFilterColumns,Databases/SQLTemplate
tSQLTemplateFilterRows,Databases/SQLTemplate
tSQLTemplateMerge,Databases/SQLTemplate
tSQLTemplateRollback,Databases/SQLTemplate
tSQSConnection,Cloud/SQS
tSQSInput,Cloud/SQS
tSQSMessageChangeVisibility,Cloud/SQS
tSQSMessageDelete,Cloud/SQS
tSQSOutput,Cloud/SQS
tSQSQueueAttributes,Cloud/SQS
tSQSQueueCreate,Cloud/SQS
tSQSQueueDelete,Cloud/SQS
tSQSQueueList,Cloud/SQS
tSQSQueuePurge,Cloud/SQS
tSSH,System/SSH
tStatCatcher,LogsErrors/LogCatcher
tSVNLogInput,Internet/SVNLogInput
tSybaseBulkExec,Databases/Sybase
tSybaseClose,Databases/Sybase
tSybaseCommit,Databases/Sybase
tSybaseConnection,Databases/Sybase
tSybaseInput,Databases/Sybase
tSybaseIQBulkExec,Databases/Sybase
tSybaseIQOutputBulkExec,Databases/Sybase
tSybaseOutput,Databases/Sybase
tSybaseOutputBulk,Databases/Sybase
tSybaseOutputBulkExec,Databases/Sybase
tSybaseRollback,Databases/Sybase
tSybaseRow,Databases/Sybase
tSybaseSCD,Databases/Sybase
tSybaseSCDELT,Databases/Sybase
tSybaseSP,Databases/Sybase
tSyslogInput,System/tSystem
tSystem,System/tSystem
tTeradataClose,Databases/Teradata
tTeradataCommit,Databases/Teradata
tTeradataConnection,Databases/Teradata
tTeradataFastExport,Databases/Teradata
tTeradataFastLoad,Databases/Teradata
tTeradataFastLoadUtility,Databases/Teradata
tTeradataInput,Databases/Teradata
tTeradataMultiLoad,Databases/Teradata
tTeradataOutput,Databases/Teradata
tTeradataRollback,Databases/Teradata
tTeradataRow,Databases/Teradata
tTeradataSCD,Databases/Teradata
tTeradataSCDELT,Databases/Teradata
tTeradataTPTExec,Databases/Teradata
tTeradataTPTOutput,Databases/Teradata
tTeradataTPTUtility,Databases/Teradata
tTeradataTPump,Databases/Teradata
tUniqRow,Processing/UniqRow
tUniqRowIn,Processing/UniqRow
tUniqRowOut,Processing/UniqRow
tUnite,Orchestration/Unite
tVectorWiseCommit,Databases/Vertica
tVectorWiseConnection,Databases/Vertica
tVectorWiseInput,Databases/Vertica
tVectorWiseOutput,Databases/Vertica
tVectorWiseRollback,Databases/Vertica
tVectorWiseRow,Databases/Vertica
tVerticaBulkExec,Databases/Vertica
tVerticaClose,Databases/Vertica
tVerticaCommit,Databases/Vertica
tVerticaConnection,Databases/Vertica
tVerticaInput,Databases/Vertica
tVerticaOutput,Databases/Vertica
tVerticaOutputBulk,Databases/Vertica
tVerticaOutputBulkExec,Databases/Vertica
tVerticaRollback,Databases/Vertica
tVerticaRow,Databases/Vertica
tVerticaSCD,Databases/Vertica
tWaitForFile,Orchestration/WaitForFile
tWaitForSocket,Orchestration/WaitForFile
tWaitForSqlData,Orchestration/WaitForSqlData
tWarn,LogsErrors/Die
tWebService,Internet/WebService
tWebServiceInput,Internet/WebServiceInput
tWriteJSONField,Processing/WriteJSONField
tWriteJSONFieldIn,Processing/WriteJSONField
tWriteXMLField,XML/WriteXMLField
tWriteXMLFieldIn,XML/WriteXMLField
tWriteXMLFieldOut,XML/WriteXMLField
tXMLMap,XML/XMLMap
tXMLMapIn,XML/XMLMap
tXMLMapOut,XML/XMLMap
tXMLRPCInput,Internet/XMLRPCInput
tXSDValidator,XML/XSDvalidator
tXSLT,XML/XSLT
tAS400CDC,Databases/AS400
tAsyncIn,
tAsyncOut,
tDB2CDC,Databases/DB2
tELTOracleUniteMap,Databases/Oracle
tELTSAPInput,Business/SAP
tELTSAPMap,Business/SAP
tELTTeradataUniteMap,Databases/Teradata
tExtractDynamicFields,Processing/ExtractDynamicField
tExtractEDIField,UnStructure/ExtractEDIField
tFileInputORC,File/FileORC
tFileInputParquet,File/FileParquet
tFileOutputORC,File/FileORC
tFileOutputParquet,File/FileParquet
tInformixCDC,Databases/Ingres
tJBossESBInput,Internet/WebService
tJBossESBOutput,Internet/WebService
tJobStructureCatcher,LogsErrors/LogCatcher
tMSSqlCDC,Databases/MSSql
tMysqlCDC,Databases/MySQL
tOracleCDC,Databases/Oracle
tOracleCDCOutput,Databases/Oracle
tParallelize,Orchestration/Parallelize
tPostgresqlCDC,Databases/PostgreSQL
tSAPADSOInput,Business/SAP
tSAPADSOOutput,Business/SAP
tSAPBapi,Business/SAP
tSAPBapiIn,Business/SAP
tSAPBapiOut,Business/SAP
tSAPCommit,Business/SAP
tSAPConnection,Business/SAP
tSAPDataSourceOutput,Business/SAP
tSAPDataSourceReceiver,Business/SAP
tSAPDSOInput,Business/SAP
tSAPDSOOutput,Business/SAP
tSAPHanaClose,Databases/SAPHana
tSAPHanaCommit,Databases/SAPHana
tSAPHanaConnection,Databases/SAPHana
tSAPHanaInput,Databases/SAPHana
tSAPHanaOutput,Databases/SAPHana
tSAPHanaRollback,Databases/SAPHana
tSAPHanaRow,Databases/SAPHana
tSAPIDocInput,Business/SAP
tSAPIDocOutput,Business/SAP
tSAPIDocReceiver,Business/SAP
tSAPInfoCubeInput,Business/SAP
tSAPInfoObjectInput,Business/SAP
tSAPInfoObjectOutput,Business/SAP
tSAPInfoObjectOutputIn,Business/SAP
tSAPInfoObjectOutputOut,Business/SAP
tSAPODPInput,Business/SAP
tSAPRollback,Business/SAP
tSAPTableInput,Business/SAP
tSetDynamicSchema,Orchestration/SetDynamicSchema
tSybaseCDC,Databases/Sybase
tTeradataCDC,Databases/Teradata
tWriteDynamicFields,Processing/WriteDynamicField