#input,matched_name,matched_path
saphana,sap-odata,Databases/SAPHana
couchbase,couchbase,NoSQL/Couchbase
cosmosdb,cosmosDB,Databases/CosmosDB
workday,workday,Business/Workday
azuredlsgen2,azure-dls-gen2,Cloud/AzureAdlsGen2
azurecommon,azurecommon,Cloud/AzureAdlsGen2
rabbitmq,rabbitmq,
neo4j,neo4j,NoSQL/Neo4jv4
neo4j,neo4j-import,NoSQL/Neo4jv4ImportTool
netsuite,netsuite,Business/NetsuiteV2021|Business/NetsuiteV2025
salesforce,salesforce,Business/Salesforce
azurestorage,components-azurestorage,Cloud/AzureStorage
marketo,marketo,
googledrive,components-googledrive-integration,Cloud/GoogleDrive
marklogic,components-marklogic-runtime,NoSQL/Marklogic
snowflakeee,components-snowflake-ee-runtime,Snowflake/tSnowflake
snowflake,snowflake,Snowflake/tSnowflake
jdbc,newjdbc,Databases/JDBC|Databases/JDBC/Athena
dataprep,dataprep, 
datastewardship,data-stewardship,
zendesk,zendesk,
samba,samba,Internet/Samba
kudu,kudu-connector,BigData/ApacheKudu
tableau,tableau-rest-data,
jms,jms-connector,
cyberarkrest,cyberark-rest,
box,box-studio,Cloud/Boxv2
jira,jira,Internet/Jira
splunk,splunk,
httpclient,http-studio,Internet/HTTPClient
pgp,pgp,File/PGP
openai,openai-studio,
odata,odata-cloud,Internet/OData
google.analytics4,google-analytics4,Cloud/GoogleAnalytics4
hadoopcluster,hadoopcluster,
solr,solr,BI/Solr
pinecone,pinecone-studio,Databases/Pinecone
chunk,chunk,
embeddingAI,embeddingAI,AI/EmbeddingAI
jsonValidator,jsonValidator,
qlik,qlik,Cloud/Qlik
milvus,milvus,Databases/Milvus
ollama,ollama,
claude,claude,AI/ClaudeAI
qvd.output,qvd-output,File/QVD
dataqualityRule,dataqualityRule,
sap.odata,sap-odata,Business/SAP/SAPOData
aws.s3,aws-s3,Cloud/S3
aws.sqs,aws-sqs,Cloud/SQS
aws-common-v2,aws-common-v2,Cloud/S3|Cloud/SQS|AI/Bedrock
dynamodb,dynamodb,NoSQL/DynamoDB
salesforcemarketingstudio,salesforce-marketing-studio,Business/SalesforceMarketing
gemini,gemini,AI/Gemini
aws.bedrock,aws-bedrock,AI/Bedrock
dsql4json,dsql4json,